69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:12 GET /csImages/cs_N_high.jpg 200 1624
66.249.71.17 crawl-66-249-71-17.googlebot.com 2005/8/19@1:09:12 GET /undergrad/handbook/programs/plans/bcs_se.shtml 200 13218
66.249.64.14 crawl-66-249-64-14.googlebot.com 2005/8/19@1:09:14 GET /cs-archive/CS-1990/CS-1990.shtml 200 9787
69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:14 GET /templates/images/C_inactive_AAA.gif 301 369
69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:14 GET /undergrad/prospective/follow.shtml 200 27465
69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:14 GET /templates/images/shim.gif 301 359
69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:15 GET /templates/images/NoUseMenus2.gif 301 366
67.175.24.168 c-67-175-24-168.hsd1.in.comcast.net 2005/8/19@1:09:17 GET /~mjhinek/pics/jokes/illusion.jpg 200 47269
66.249.64.47 crawl-66-249-64-47.googlebot.com 2005/8/19@1:09:18 GET /High_School_Liaison/contact.shtml 301 341
69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:20 GET /templates/images/shim.gif 301 359
69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:20 GET /templates/images/C_inactive_AAA.gif 301 369
69.199.168.93 CPE002078ca350f-CM0012c90d3e08.cpe.net.cable.rogers.com 2005/8/19@1:09:20 GET /templates/images/NoUseMenus2.gif 301 366
66.249.71.3 crawl-66-249-71-3.googlebot.com 2005/8/19@1:09:20 GET /undergrad/handbook/courses/numbering.shtml 200 13597
66.249.71.42 crawl-66-249-71-42.googlebot.com 2005/8/19@1:09:21 GET /cs-archive/CS-1996/CS-1996.shtml 200 93263
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:23 GET /undergrad/resources/common.css 200 1149
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:23 GET /undergrad/handbook/courses/waitlist/index.shtml 200 24322
66.249.64.7 crawl-66-249-64-7.googlebot.com 2005/8/19@1:09:23 GET /cscf/about/ 200 8096
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:23 GET /templates/CSSfiles/navstyle.css 200 4774
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /templates/CSSfiles/MathNav.css 200 3451
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /favicon.ico 200 2526
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /templates/CSSfiles/MathSubsite.css 200 1646
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /templates/CSSfiles/GradNav.css 200 1649
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /templates/CSSfiles/ProspNav.css 200 1269
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /templates/CSSfiles/CSNav.css 200 1863
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /templates/JSfiles/MathHeadScripts.js 200 2923
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /undergrad/resources/redarrowN.gif 200 829
24.109.50.223 S010600112f2dcc86.su.shawcable.net 2005/8/19@1:09:24 GET /undergrad/resources/redarrow2N.gif 200 834
